,,,,,,
Year,All ages estimate,Lower Estimate,Upper Estimate,,,
1990,<1000,<1000,1300,,,
1991,1400,<1000,2000,,,
1992,2100,1400,3000,,,
1993,3000,2000,4300,,,
1994,4200,2900,5800,,,
1995,5600,4100,7600,,,
1996,7300,5400,9600,,,
1997,9100,6900,12 000,,,
1998,11 000,8700,14 000,,,
1999,13 000,10 000,16 000,,,
2000,15 000,12 000,18 000,,,
2001,17 000,14 000,20 000,,,
2002,18 000,15 000,21 000,,,
2003,18 000,15 000,21 000,,,
2004,16 000,14 000,19 000,,,
2005,13 000,11 000,15 000,,,
2006,11 000,9200,12 000,,,
2007,8900,7600,10 000,,,
2008,8100,6800,9500,,,
2009,6700,5500,8200,,,
2010,5900,4700,7200,,,
2011,5700,4600,7100,,,
2012,5300,4200,6600,,,
2013,5000,4000,6300,,,
2014,4700,3800,6000,,,
2015,4500,3600,5600,,,
2016,4200,3400,5200,,,
2017,4100,3400,5000,,,
